hour_of_day,day_of_week,day_name,active_orders,active_items,order_size,is_peak_hour,is_weekend,wait_time_mins
18,3,Thu,7,23,7,0,0,33.2
19,4,Fri,4,47,7,1,0,48.8
14,4,Fri,20,38,4,1,0,60.0
11,1,Tue,13,29,4,0,0,41.4
13,0,Mon,3,44,2,1,0,39.1
21,3,Thu,22,12,5,1,0,60.0
21,4,Fri,9,4,4,1,0,38.0
16,1,Tue,19,24,4,0,0,49.3
21,4,Fri,14,19,5,1,0,55.3
22,6,Sun,17,53,1,0,1,60.0
17,3,Thu,19,17,4,0,0,49.4
12,3,Thu,12,46,3,1,0,60.0
10,6,Sun,7,17,6,0,1,34.8
13,2,Wed,8,1,6,1,0,37.5
11,6,Sun,15,9,4,0,1,44.4
17,5,Sat,18,54,1,0,1,60.0
13,5,Sat,15,44,7,1,1,60.0
11,1,Tue,6,49,1,0,0,34.7
15,3,Thu,13,46,2,0,0,46.8
15,2,Wed,13,11,3,0,0,36.0
19,2,Wed,24,46,1,1,0,60.0
13,4,Fri,3,12,5,1,0,28.6
15,4,Fri,14,49,3,0,0,48.3
22,6,Sun,2,46,6,0,1,37.8
11,2,Wed,4,56,3,0,0,34.3
19,6,Sun,0,54,5,1,1,44.7
21,6,Sun,2,10,4,1,1,22.6
11,4,Fri,14,18,5,0,0,44.3
19,3,Thu,23,34,5,1,0,60.0
13,6,Sun,7,38,4,1,1,55.7
17,0,Mon,3,52,4,0,0,31.9
16,3,Thu,1,25,4,0,0,19.2
21,2,Wed,23,45,4,1,0,60.0
18,2,Wed,23,13,4,0,0,51.2
17,6,Sun,9,53,5,0,1,50.8
14,3,Thu,3,44,2,1,0,40.9
22,4,Fri,2,43,2,0,0,25.0
11,4,Fri,1,23,1,0,0,18.4
14,5,Sat,24,40,2,1,1,60.0
17,2,Wed,16,0,6,0,0,43.1
19,1,Tue,22,50,2,1,0,60.0
18,5,Sat,20,42,5,0,1,60.0
21,4,Fri,23,54,4,1,0,60.0
21,3,Thu,19,21,4,1,0,60.0
21,4,Fri,22,22,7,1,0,60.0
22,3,Thu,12,55,7,0,0,51.0
18,5,Sat,4,53,7,0,1,45.9
22,2,Wed,20,18,5,0,0,51.6
22,4,Fri,8,17,6,0,0,32.2
10,6,Sun,24,11,2,0,1,60.0
18,3,Thu,24,54,5,0,0,60.0
16,2,Wed,21,27,1,0,0,50.7
18,1,Tue,5,27,4,0,0,28.2
17,3,Thu,4,59,7,0,0,35.1
10,5,Sat,24,58,3,0,1,60.0
21,1,Tue,9,32,1,1,0,48.7
17,1,Tue,7,18,7,0,0,30.5
17,0,Mon,6,27,6,0,0,29.6
20,4,Fri,6,58,1,1,0,50.2
12,3,Thu,5,51,5,1,0,49.9
10,1,Tue,20,48,2,0,0,59.3
17,0,Mon,19,36,4,0,0,54.9
12,5,Sat,2,25,6,1,1,31.1
12,2,Wed,18,34,6,1,0,60.0
10,6,Sun,21,33,3,0,1,60.0
20,6,Sun,14,34,1,1,1,60.0
14,3,Thu,3,39,3,1,0,26.1
19,1,Tue,11,15,2,1,0,45.6
16,6,Sun,5,37,7,0,1,39.1
19,4,Fri,18,12,2,1,0,57.7
18,6,Sun,3,22,7,0,1,30.8
21,6,Sun,14,59,3,1,1,60.0
16,6,Sun,8,53,4,0,1,49.3
18,0,Mon,4,21,2,0,0,21.0
17,1,Tue,12,15,3,0,0,32.5
21,4,Fri,22,27,1,1,0,60.0
11,1,Tue,17,47,3,0,0,51.8
10,3,Thu,4,34,3,0,0,22.6
16,3,Thu,24,59,5,0,0,60.0
16,3,Thu,15,44,2,0,0,47.2
17,5,Sat,18,45,4,0,1,60.0
14,6,Sun,13,7,4,1,1,57.5
12,5,Sat,24,43,5,1,1,60.0
21,0,Mon,15,54,7,1,0,60.0
17,3,Thu,14,54,6,0,0,53.7
15,4,Fri,21,21,7,0,0,59.9
20,1,Tue,3,20,4,1,0,35.3
12,6,Sun,6,25,3,1,1,46.2
10,2,Wed,15,39,5,0,0,50.0
12,4,Fri,23,20,1,1,0,60.0
14,6,Sun,21,24,2,1,1,60.0
12,5,Sat,20,40,2,1,1,60.0
10,5,Sat,21,0,2,0,1,53.5
14,4,Fri,20,5,3,1,0,60.0
19,5,Sat,7,22,1,1,1,42.6
16,3,Thu,16,50,5,0,0,53.6
16,0,Mon,15,22,5,0,0,44.5
20,1,Tue,22,42,2,1,0,60.0
18,0,Mon,9,42,1,0,0,36.1
19,6,Sun,9,22,1,1,1,56.6
19,1,Tue,1,31,1,1,0,22.7
21,1,Tue,8,29,4,1,0,47.1
22,0,Mon,16,12,4,0,0,43.9
12,4,Fri,10,42,2,1,0,56.8
16,1,Tue,9,17,1,0,0,27.0
10,0,Mon,21,22,6,0,0,53.0
13,1,Tue,24,14,1,1,0,60.0
22,2,Wed,16,32,5,0,0,49.7
13,4,Fri,3,20,5,1,0,30.4
14,3,Thu,15,56,2,1,0,60.0
16,1,Tue,19,38,6,0,0,58.1
16,2,Wed,14,22,1,0,0,38.7
22,3,Thu,24,26,7,0,0,60.0
20,3,Thu,20,44,6,1,0,60.0
22,6,Sun,4,43,2,0,1,33.9
13,1,Tue,5,17,5,1,0,34.3
22,0,Mon,16,23,7,0,0,50.4
16,1,Tue,0,50,5,0,0,24.7
20,2,Wed,24,46,4,1,0,60.0
12,3,Thu,18,39,2,1,0,60.0
15,1,Tue,3,50,2,0,0,27.1
21,0,Mon,16,41,1,1,0,60.0
11,6,Sun,8,6,1,0,1,24.4
19,1,Tue,23,49,4,1,0,60.0
22,4,Fri,1,47,7,0,0,24.5
18,6,Sun,7,19,3,0,1,29.0
14,0,Mon,14,26,6,1,0,60.0
15,2,Wed,6,5,3,0,0,21.1
21,3,Thu,5,26,3,1,0,36.5
21,1,Tue,0,8,2,1,0,13.6
21,0,Mon,14,52,6,1,0,60.0
21,6,Sun,22,44,2,1,1,60.0
13,4,Fri,6,56,6,1,0,57.7
20,0,Mon,24,30,5,1,0,60.0
19,5,Sat,16,20,2,1,1,60.0
16,4,Fri,1,25,2,0,0,19.3
21,6,Sun,8,39,2,1,1,60.0
18,2,Wed,8,47,7,0,0,39.4
16,3,Thu,12,44,4,0,0,45.6
10,6,Sun,5,12,2,0,1,31.4
10,2,Wed,5,48,1,0,0,30.2
18,1,Tue,19,22,1,0,0,47.2
20,0,Mon,19,19,6,1,0,60.0
18,5,Sat,20,36,5,0,1,60.0
13,4,Fri,2,53,4,1,0,43.1
22,4,Fri,16,52,7,0,0,55.3
18,0,Mon,16,27,6,0,0,49.0
12,5,Sat,11,16,1,1,1,44.1
16,0,Mon,15,27,4,0,0,44.5
15,1,Tue,14,40,4,0,0,45.2
17,2,Wed,12,1,5,0,0,33.6
20,6,Sun,22,24,4,1,1,60.0
18,4,Fri,0,57,2,0,0,23.5
14,1,Tue,16,49,4,1,0,60.0
10,2,Wed,2,40,5,0,0,25.2
12,1,Tue,14,5,6,1,0,49.1
19,5,Sat,3,10,5,1,1,33.5
21,4,Fri,3,56,7,1,0,48.2
17,6,Sun,17,37,5,0,1,60.0
20,0,Mon,16,5,1,1,0,49.1
15,0,Mon,18,44,2,0,0,56.9
17,2,Wed,10,10,1,0,0,24.1
18,6,Sun,19,13,6,0,1,60.0
13,3,Thu,2,1,3,1,0,16.4
10,5,Sat,7,39,6,0,1,44.2
10,2,Wed,13,2,2,0,0,30.3
19,3,Thu,0,54,4,1,0,34.7
13,1,Tue,13,52,5,1,0,60.0
21,5,Sat,1,34,3,1,1,36.6
16,1,Tue,22,32,2,0,0,53.8
11,6,Sun,3,23,1,0,1,23.1
12,4,Fri,23,18,5,1,0,60.0
10,5,Sat,18,17,6,0,1,60.0
14,3,Thu,5,48,1,1,0,43.8
10,4,Fri,24,51,2,0,0,60.0
17,0,Mon,0,23,2,0,0,15.7
10,3,Thu,16,44,6,0,0,54.3
20,2,Wed,7,34,3,1,0,48.4
10,0,Mon,18,0,6,0,0,42.9
11,0,Mon,20,35,4,0,0,60.0
11,2,Wed,0,24,1,0,0,8.6
21,5,Sat,4,44,3,1,1,47.6
15,0,Mon,15,48,5,0,0,49.0
16,6,Sun,5,59,7,0,1,52.6
14,3,Thu,7,42,4,1,0,48.3
10,4,Fri,12,33,3,0,0,39.8
10,0,Mon,15,24,7,0,0,48.5
12,3,Thu,2,15,7,1,0,30.1
11,1,Tue,18,33,1,0,0,47.3
14,3,Thu,11,28,2,1,0,46.3
21,4,Fri,15,18,5,1,0,60.0
19,3,Thu,10,22,6,1,0,52.6
15,2,Wed,9,18,1,0,0,29.2
16,4,Fri,24,24,4,0,0,60.0
13,5,Sat,19,15,7,1,1,60.0
16,1,Tue,3,53,4,0,0,31.0
20,2,Wed,11,50,7,1,0,60.0
17,5,Sat,22,8,2,0,1,59.0
20,3,Thu,1,0,2,1,0,6.3
10,4,Fri,23,41,5,0,0,60.0
15,1,Tue,21,18,6,0,0,56.1
17,2,Wed,18,32,5,0,0,53.6
14,5,Sat,24,33,2,1,1,60.0
13,5,Sat,4,15,2,1,1,29.5
11,1,Tue,7,43,4,0,0,35.8
15,6,Sun,6,39,2,0,1,33.6
15,3,Thu,13,54,3,0,0,48.7
20,1,Tue,23,17,7,1,0,60.0
10,5,Sat,22,33,1,0,1,60.0
18,0,Mon,2,24,2,0,0,21.3
21,2,Wed,17,44,5,1,0,60.0
20,1,Tue,15,5,6,1,0,56.6
15,6,Sun,22,20,7,0,1,60.0
22,5,Sat,18,57,7,0,1,60.0
12,3,Thu,18,5,6,1,0,60.0
13,5,Sat,17,31,6,1,1,60.0
21,3,Thu,19,40,7,1,0,60.0
20,1,Tue,15,47,3,1,0,60.0
13,3,Thu,7,42,5,1,0,48.0
12,4,Fri,0,38,3,1,0,23.1
19,4,Fri,16,30,2,1,0,60.0
12,4,Fri,11,41,1,1,0,54.5
12,6,Sun,20,9,6,1,1,60.0
13,6,Sun,10,29,5,1,1,60.0
16,0,Mon,4,56,6,0,0,39.7
13,6,Sun,11,51,3,1,1,60.0
18,1,Tue,16,17,4,0,0,41.3
10,5,Sat,5,59,2,0,1,42.5
17,5,Sat,0,23,1,0,1,13.1
16,0,Mon,4,51,2,0,0,27.0
11,6,Sun,24,8,4,0,1,60.0
17,3,Thu,13,30,1,0,0,35.4
10,0,Mon,4,14,4,0,0,20.5
20,3,Thu,21,3,2,1,0,60.0
21,3,Thu,23,39,3,1,0,60.0
18,2,Wed,0,8,7,0,0,12.1
18,5,Sat,17,44,2,0,1,60.0
11,4,Fri,15,8,2,0,0,35.0
16,6,Sun,8,25,2,0,1,36.7
19,3,Thu,18,3,5,1,0,59.5
12,2,Wed,21,16,4,1,0,60.0
16,5,Sat,4,15,4,0,1,23.6
21,4,Fri,1,14,6,1,0,18.6
19,3,Thu,14,34,4,1,0,60.0
18,3,Thu,6,56,6,0,0,39.3
13,0,Mon,3,51,5,1,0,47.4
21,0,Mon,0,4,3,1,0,10.2
10,5,Sat,12,54,6,0,1,57.0
11,4,Fri,19,4,2,0,0,44.7
10,3,Thu,21,19,3,0,0,49.3
21,5,Sat,6,14,7,1,1,47.1
14,5,Sat,14,17,5,1,1,60.0
14,1,Tue,22,46,4,1,0,60.0
20,6,Sun,13,1,6,1,1,57.8
16,0,Mon,22,28,2,0,0,53.5
18,4,Fri,18,12,1,0,0,42.9
18,3,Thu,21,3,7,0,0,50.3
12,5,Sat,23,41,1,1,1,60.0
12,3,Thu,19,44,3,1,0,60.0
12,1,Tue,23,9,4,1,0,60.0
13,4,Fri,17,30,1,1,0,60.0
17,5,Sat,9,40,3,0,1,46.0
15,3,Thu,8,7,5,0,0,25.0
17,0,Mon,24,2,3,0,0,52.6
10,6,Sun,7,47,7,0,1,45.7
17,1,Tue,9,45,3,0,0,35.0
13,4,Fri,16,8,7,1,0,60.0
20,1,Tue,1,29,3,1,0,29.5
10,0,Mon,5,52,2,0,0,32.5
17,4,Fri,4,10,3,0,0,16.0
13,1,Tue,8,34,6,1,0,50.2
15,2,Wed,4,36,3,0,0,26.3
17,0,Mon,17,41,2,0,0,46.9
13,0,Mon,19,12,2,1,0,60.0
12,0,Mon,8,35,5,1,0,49.6
18,2,Wed,16,55,7,0,0,55.9
12,2,Wed,16,12,4,1,0,55.0
18,3,Thu,11,11,1,0,0,31.5
22,5,Sat,6,36,1,0,1,32.4
11,6,Sun,2,9,3,0,1,20.7
11,1,Tue,9,59,5,0,0,48.0
11,3,Thu,1,55,3,0,0,28.9
15,1,Tue,24,8,1,0,0,50.7
12,6,Sun,2,51,7,1,1,45.9
22,5,Sat,15,6,7,0,1,51.4
18,2,Wed,1,1,7,0,0,19.7
13,5,Sat,23,53,2,1,1,60.0
10,2,Wed,9,55,4,0,0,38.5
13,6,Sun,5,59,5,1,1,60.0
10,5,Sat,21,22,2,0,1,60.0
14,3,Thu,10,38,4,1,0,51.8
13,4,Fri,22,39,5,1,0,60.0
17,3,Thu,6,38,5,0,0,33.0
17,1,Tue,14,20,1,0,0,35.8
16,3,Thu,5,22,2,0,0,26.5
12,6,Sun,19,28,5,1,1,60.0
10,0,Mon,8,13,6,0,0,31.4
10,1,Tue,21,25,7,0,0,58.5
21,5,Sat,19,50,5,1,1,60.0
20,1,Tue,11,4,4,1,0,38.5
12,4,Fri,18,54,1,1,0,60.0
15,2,Wed,19,30,3,0,0,54.0
16,5,Sat,2,24,7,0,1,29.5
15,1,Tue,14,30,1,0,0,39.6
15,5,Sat,1,49,3,0,1,31.3
15,5,Sat,20,19,2,0,1,60.0
22,5,Sat,1,43,2,0,1,31.3
12,2,Wed,21,54,5,1,0,60.0
15,6,Sun,2,16,6,0,1,22.2
17,3,Thu,5,44,2,0,0,29.4
20,5,Sat,14,1,5,1,1,60.0
20,0,Mon,9,24,7,1,0,54.3
11,6,Sun,8,12,1,0,1,25.2
14,4,Fri,0,57,2,1,0,35.0
10,2,Wed,15,38,1,0,0,42.8
21,1,Tue,5,27,1,1,0,31.0
10,2,Wed,8,41,6,0,0,40.6
14,1,Tue,3,54,2,1,0,42.7
21,2,Wed,1,5,1,1,0,11.4
22,1,Tue,3,2,6,0,0,17.9
12,5,Sat,0,57,6,1,1,47.4
13,3,Thu,18,34,2,1,0,60.0
12,1,Tue,24,17,6,1,0,60.0
10,1,Tue,9,10,2,0,0,24.9
10,0,Mon,20,53,2,0,0,60.0
21,1,Tue,14,19,3,1,0,59.1
21,0,Mon,21,4,1,1,0,60.0
22,4,Fri,18,18,4,0,0,51.8
14,5,Sat,15,21,2,1,1,60.0
15,0,Mon,20,58,1,0,0,58.9
12,3,Thu,23,59,7,1,0,60.0
21,6,Sun,21,18,6,1,1,60.0
18,5,Sat,3,46,5,0,1,35.3
14,0,Mon,1,15,2,1,0,22.7
17,5,Sat,24,23,6,0,1,60.0
22,5,Sat,12,40,6,0,1,57.3
10,5,Sat,0,3,6,0,1,17.3
14,4,Fri,16,14,6,1,0,60.0
12,3,Thu,12,24,6,1,0,52.6
21,2,Wed,3,43,2,1,0,32.5
10,2,Wed,6,54,7,0,0,39.5
13,0,Mon,16,34,4,1,0,60.0
22,5,Sat,8,54,3,0,1,45.5
14,0,Mon,3,13,6,1,0,32.1
16,4,Fri,18,48,6,0,0,57.9
10,4,Fri,0,18,3,0,0,14.5
12,1,Tue,9,37,7,1,0,57.3
11,4,Fri,3,35,7,0,0,32.8
18,1,Tue,8,6,2,0,0,21.6
19,3,Thu,12,29,1,1,0,57.3
15,0,Mon,13,18,5,0,0,38.6
19,6,Sun,9,48,5,1,1,60.0
12,3,Thu,5,24,1,1,0,30.8
17,4,Fri,15,15,2,0,0,45.4
17,3,Thu,5,46,5,0,0,35.6
11,3,Thu,16,53,7,0,0,59.3
15,3,Thu,9,39,3,0,0,38.1
16,4,Fri,17,50,1,0,0,50.3
11,6,Sun,21,7,7,0,1,60.0
20,5,Sat,17,17,4,1,1,60.0
19,3,Thu,2,27,2,1,0,31.8
11,1,Tue,19,15,1,0,0,44.7
19,4,Fri,20,51,5,1,0,60.0
10,3,Thu,24,18,2,0,0,53.7
17,6,Sun,14,41,3,0,1,55.7
10,5,Sat,14,16,2,0,1,45.6
18,4,Fri,3,44,2,0,0,23.6
20,2,Wed,8,12,3,1,0,38.5
15,5,Sat,18,6,6,0,1,56.2
16,1,Tue,23,26,3,0,0,59.8
22,3,Thu,16,9,7,0,0,47.3
19,6,Sun,10,33,2,1,1,59.6
16,2,Wed,24,35,3,0,0,60.0
19,6,Sun,8,24,6,1,1,54.0
12,2,Wed,9,5,7,1,0,48.5
11,4,Fri,17,23,1,0,0,44.0
18,2,Wed,19,17,3,0,0,51.4
17,1,Tue,12,22,3,0,0,37.8
22,1,Tue,7,5,2,0,0,23.0
21,0,Mon,6,28,7,1,0,48.3
19,1,Tue,16,24,1,1,0,55.7
16,5,Sat,20,54,4,0,1,60.0
18,2,Wed,22,16,4,0,0,51.7
13,1,Tue,14,45,5,1,0,60.0
22,4,Fri,19,23,3,0,0,51.0
13,6,Sun,14,10,3,1,1,58.4
10,6,Sun,0,25,1,0,1,17.8
17,0,Mon,24,50,6,0,0,60.0
21,6,Sun,13,33,4,1,1,60.0
12,2,Wed,4,27,5,1,0,35.0
16,0,Mon,10,2,1,0,0,22.7
21,2,Wed,15,10,3,1,0,50.0
11,4,Fri,1,37,4,0,0,21.5
11,0,Mon,7,13,7,0,0,26.1
16,3,Thu,10,50,5,0,0,42.9
15,5,Sat,17,25,2,0,1,57.2
12,5,Sat,2,47,4,1,1,45.6
18,2,Wed,0,20,5,0,0,14.6
19,6,Sun,10,53,1,1,1,60.0
22,3,Thu,15,55,2,0,0,51.2
15,0,Mon,17,38,5,0,0,56.9
19,3,Thu,15,29,5,1,0,60.0
19,3,Thu,22,58,3,1,0,60.0
15,6,Sun,9,7,6,0,1,38.8
10,0,Mon,17,50,4,0,0,55.1
13,4,Fri,5,19,3,1,0,32.4
19,6,Sun,18,47,7,1,1,60.0
15,3,Thu,3,31,2,0,0,18.8
15,3,Thu,12,21,6,0,0,42.0
20,4,Fri,23,58,5,1,0,60.0
21,3,Thu,13,6,3,1,0,46.5
14,3,Thu,2,8,6,1,0,23.9
10,3,Thu,9,44,7,0,0,43.1
17,5,Sat,5,0,4,0,1,22.5
14,6,Sun,0,28,7,1,1,35.2
21,1,Tue,22,7,2,1,0,60.0
21,6,Sun,23,55,1,1,1,60.0
21,4,Fri,13,53,3,1,0,60.0
14,3,Thu,7,3,2,1,0,27.8
16,6,Sun,18,34,1,0,1,58.9
13,5,Sat,13,58,3,1,1,60.0
15,4,Fri,9,2,2,0,0,23.0
22,2,Wed,16,53,7,0,0,56.1
13,6,Sun,8,44,2,1,1,56.4
12,2,Wed,5,39,6,1,0,46.5
16,3,Thu,10,6,7,0,0,34.4
17,5,Sat,24,26,3,0,1,60.0
13,5,Sat,6,0,2,1,1,33.4
22,6,Sun,16,26,5,0,1,59.4
11,4,Fri,0,15,3,0,0,12.5
21,4,Fri,21,37,2,1,0,60.0
19,5,Sat,4,6,6,1,1,34.4
12,4,Fri,8,43,1,1,0,47.2
10,5,Sat,17,22,1,0,1,55.2
17,6,Sun,23,40,5,0,1,60.0
12,1,Tue,20,58,3,1,0,60.0
21,5,Sat,1,10,6,1,1,28.6
19,2,Wed,10,41,2,1,0,55.2
16,4,Fri,5,52,2,0,0,29.3
19,5,Sat,7,32,1,1,1,50.2
14,5,Sat,3,49,6,1,1,55.6
19,6,Sun,17,35,7,1,1,60.0
14,4,Fri,10,36,5,1,0,53.8
16,1,Tue,4,40,1,0,0,27.4
18,6,Sun,14,58,1,0,1,58.9
21,1,Tue,17,16,5,1,0,60.0
14,6,Sun,1,34,3,1,1,44.0
10,4,Fri,21,47,2,0,0,60.0
19,0,Mon,10,4,3,1,0,40.3
19,4,Fri,24,47,6,1,0,60.0
10,4,Fri,12,31,7,0,0,45.5
11,1,Tue,3,2,4,0,0,14.0
15,1,Tue,21,51,4,0,0,60.0
18,4,Fri,6,46,4,0,0,35.9
17,4,Fri,10,34,5,0,0,40.9
22,4,Fri,21,51,1,0,0,57.0
14,1,Tue,23,13,7,1,0,60.0
10,4,Fri,3,47,3,0,0,27.4
22,4,Fri,14,30,2,0,0,42.7
16,3,Thu,0,30,4,0,0,20.1
14,0,Mon,22,16,3,1,0,60.0
15,2,Wed,2,59,4,0,0,29.4
22,0,Mon,13,23,7,0,0,47.2
16,3,Thu,5,51,4,0,0,32.0
12,2,Wed,17,22,2,1,0,60.0
21,6,Sun,24,17,6,1,1,60.0
19,4,Fri,0,49,6,1,0,41.2
12,3,Thu,5,53,7,1,0,52.4
14,6,Sun,5,13,6,1,1,41.7
15,4,Fri,20,49,5,0,0,60.0
18,1,Tue,15,14,1,0,0,36.4
22,5,Sat,4,14,5,0,1,27.4
21,3,Thu,16,5,3,1,0,58.9
14,1,Tue,9,26,5,1,0,45.4
10,3,Thu,20,14,3,0,0,47.5
13,3,Thu,17,49,3,1,0,60.0
14,1,Tue,6,35,1,1,0,38.2
21,2,Wed,2,54,2,1,0,37.7
19,0,Mon,12,7,7,1,0,54.1
19,4,Fri,14,14,1,1,0,49.9
14,3,Thu,19,2,7,1,0,60.0
16,4,Fri,18,46,6,0,0,59.2
13,5,Sat,2,12,6,1,1,33.4
10,1,Tue,3,40,5,0,0,29.8
14,4,Fri,4,33,3,1,0,35.6
16,1,Tue,0,23,4,0,0,20.0
19,4,Fri,3,39,4,1,0,44.8
19,0,Mon,11,31,7,1,0,60.0
15,0,Mon,23,31,3,0,0,59.8
14,0,Mon,9,29,7,1,0,55.4
13,0,Mon,22,51,1,1,0,60.0
11,0,Mon,24,48,2,0,0,60.0
13,0,Mon,20,12,1,1,0,60.0
19,1,Tue,19,0,3,1,0,60.0
19,3,Thu,23,33,3,1,0,60.0
12,4,Fri,24,14,2,1,0,60.0
19,0,Mon,12,43,7,1,0,60.0
10,1,Tue,22,13,5,0,0,52.2
17,1,Tue,13,56,5,0,0,51.9
14,1,Tue,22,28,2,1,0,60.0
22,3,Thu,4,33,5,0,0,30.2
13,4,Fri,3,17,4,1,0,25.7
17,3,Thu,13,53,5,0,0,51.2
16,2,Wed,9,6,5,0,0,27.5
11,6,Sun,16,28,5,0,1,58.8
10,1,Tue,9,54,4,0,0,39.1
21,2,Wed,6,30,7,1,0,45.2
20,5,Sat,15,24,5,1,1,60.0
13,0,Mon,0,37,6,1,0,35.1
17,6,Sun,16,13,4,0,1,52.1
21,0,Mon,20,7,2,1,0,60.0
11,3,Thu,8,26,1,0,0,28.0
12,6,Sun,5,53,2,1,1,51.7
21,4,Fri,18,1,1,1,0,57.1
10,2,Wed,12,16,2,0,0,36.3
10,4,Fri,2,36,6,0,0,23.7
22,3,Thu,6,13,1,0,0,22.6
12,0,Mon,21,24,1,1,0,60.0
20,6,Sun,8,55,3,1,1,60.0
14,4,Fri,21,29,1,1,0,60.0
21,4,Fri,4,28,1,1,0,35.6
12,0,Mon,9,19,3,1,0,39.9
10,6,Sun,22,20,5,0,1,60.0
10,2,Wed,16,52,5,0,0,53.1
17,0,Mon,11,21,3,0,0,32.2
19,4,Fri,22,34,4,1,0,60.0
20,2,Wed,15,36,1,1,0,60.0
21,2,Wed,2,15,1,1,0,12.1
22,0,Mon,24,49,3,0,0,60.0
22,4,Fri,21,57,3,0,0,59.2
21,3,Thu,8,48,4,1,0,53.6
11,4,Fri,14,42,6,0,0,52.7
22,1,Tue,4,16,5,0,0,27.4
12,6,Sun,22,15,2,1,1,60.0
11,5,Sat,12,57,6,0,1,57.6
12,3,Thu,13,54,7,1,0,60.0
16,2,Wed,19,1,5,0,0,47.2
10,3,Thu,14,3,1,0,0,31.3
19,6,Sun,15,20,7,1,1,60.0
17,2,Wed,22,38,6,0,0,60.0
22,6,Sun,12,33,3,0,1,47.3
19,2,Wed,16,29,4,1,0,60.0
19,3,Thu,22,5,5,1,0,60.0
19,2,Wed,7,16,4,1,0,36.8
11,2,Wed,20,38,7,0,0,60.0
12,1,Tue,1,24,5,1,0,23.8
18,4,Fri,4,4,6,0,0,19.8
16,4,Fri,5,4,1,0,0,13.0
13,5,Sat,11,19,2,1,1,55.6
19,5,Sat,17,15,4,1,1,60.0
14,1,Tue,21,50,4,1,0,60.0
11,5,Sat,21,40,2,0,1,60.0
22,6,Sun,0,36,4,0,1,20.5
20,3,Thu,16,39,4,1,0,60.0
22,0,Mon,10,8,5,0,0,34.8
17,6,Sun,9,4,5,0,1,35.8
13,0,Mon,18,41,2,1,0,60.0
18,0,Mon,13,56,7,0,0,50.9
14,1,Tue,9,1,1,1,0,30.7
22,6,Sun,14,8,6,0,1,53.1
18,1,Tue,18,42,6,0,0,55.3
13,2,Wed,3,35,7,1,0,38.4
19,0,Mon,1,21,4,1,0,29.3
14,3,Thu,8,21,1,1,0,38.2
18,5,Sat,9,21,2,0,1,38.4
17,3,Thu,10,33,7,0,0,39.8
12,5,Sat,13,54,2,1,1,60.0
10,0,Mon,6,28,5,0,0,32.8
12,0,Mon,22,37,4,1,0,60.0
13,0,Mon,14,58,3,1,0,60.0
11,1,Tue,21,45,2,0,0,59.5
10,6,Sun,18,32,7,0,1,60.0
